,Eligibility
8136,All qualified candidates
8142,All interested candidates
8144,All interested candidates
8146,All qualified candidates
8147,All qualified candidates
8151,All interested candidates
8156,All eligible candidates
8160,Everyone
8161,All interested candidates
8168,"Candidates with excellent academic
achievements."
8169,All qualified candidates
8173,All qualified candidates
8176,All qualified and interested candidates
8184,"University faculty and administrative
staff."
8186,Everyone
8192,All interested candidates
8197,All interested candidates
8199,All interested candidates
8200,All interested candidates
8206,All interested candidates
8208,All qualified and interested candidates.
8209,All qualified candidates
8210,Everyone
8212,All qualified candidates
8216,Armenian citizens
8221,All interested candidates
8222,Everyone
8224,Armenian citizens
8225,Armenian citizens
8231,All interested candidates
8234,All qualified candidates
8237,All qualified candidates
8242,All qualified candidates
8243,All qualified candidates
8244,Everyone
8247,All qualified candidates
8251,All qualified candidates
8253,Students from developing countries.
8254,"Candidates who have been living in
Armenia for the last 5 consecutive years who are fluent in English &
Armenian languages."
8259,Motivated young people
8264,All interested candidates
8265,All interested candidates
8266,All interested candidates
8270,All eligible specialists
8272,All interested candidates
8277,All interested candidates
8280,Everyone
8283,All interested candidates
8285,All interested candidates
8287,All interested candidates
8290,"Young motivated people interested in
fashion, style and online shopping."
8291,All eligible specialists
8293,All motivated and qualified candidates
8294,All eligible and interested candidates
8295,All interested candidates
8296,"Young motivated people interested in
fashion, style and online shopping."
8297,All interested candidates
8298,All motivated and qualified candidates
8305,All qualified candidates
8307,All interested candidates
8312,Everyone
8313,All eligible candidates
8314,All interested candidates
8315,All qualified candidates
8316,All interested candidates
8317,All eligible candidates
8319,All qualified candidates
8320,All qualified individuals
8323,All qualified candidates
8324,All qualified candidates
8325,"Open to anyone who wants to work as a
political analyst in the Caucasus."
8327,"Open to anyone who wants to work as
journalists in the Caucasus."
8328,All eligible specialists
8331,"All interested candidates aged from 18
and up can apply."
8332,All interested candidates
8335,All qualified and interested candidates.
8337,All interested candidates
8338,All interested candidates
8339,All qualified and interested candidates.
8340,All eligible candidates
8342,All interested candidates
8349,All qualified and interested candidates
8351,All qualified and interested candidates
8353,All qualified candidates
8355,"All candidates with relevant education
and/or experience"
8358,"The application of international
candidates is welcome; particularly, young Armenian scientists studying
or having studied related fields abroad are encouraged to apply."
8361,All qualified and interested candidates.
8365,All interested candidates
8377,All interested candidates
8380,"Pharmacists, chemists and biologists."
8386,All qualified candidates
8395,Everyone
8396,All qualified candidates
8397,All interested candidates
8404,All interested candidates
8406,All interested candidates
8412,All motivated and qualified candidates
8414,All interested candidates
8415,All interested candidates
8420,All qualified and interested candidates
8426,All qualified candidates
8433,Everyone
8442,All qualified candidates
8444,All qualified candidates
8445,All eligible candidates
8446,All interested candidates
8449,All interested candidates
8451,All interested candidates
8452,Everyone
8453,All interested candidates
8456,All interested candidates
8458,Everyone
8460,All interested candidates
8462,All interested candidates
8464,All qualified candidates
8466,"Young specialists, who are interested in
learning new methods and deepen knowledge in development of an
internationally acceptable pre-feasibility report for small hydro power
plants (SHPP)."
8468,Everyone
8469,All interested candidates
8470,All interested candidates
8472,All interested candidates
8481,All qualified candidates
8483,All qualified and interested candidates
8484,First year MS students
8488,Everyone
8489,Citizens of RA
8491,Citizens of RA
8493,Citizens of RA
8494,All interested candidates
8495,All interested candidates
8496,All qualified candidates
8497,All interested candidates
8499,All qualified candidates
8500,All interested candidates
8503,All qualified nationals of Armenia.
8504,All interested candidates
8506,All qualified and interested candidates
8511,"All Qualified candidates with eligibility
to work in Yerevan, Armenia."
8512,All interested candidates
8513,Citizens of RA
8514,All interested candidates
8515,Everyone
8517,Citizens of RA
8519,All interested candidates
8521,All interested and qualified candidates
8523,All interested candidates
8524,All interested candidates
8527,All interested candidates
8529,All qualified candidates
8531,All interested candidates
8533,All qualified candidates
8535,All qualified candidates
8536,All qualified candidates
8538,Armenian citizens
8539,Everyone
8540,All qualified candidates
8541,All qualified candidates
8542,Armenian citizens
8543,All qualified candidates
8544,Armenian Citizens
8546,Armenian Citizens
